Line Number,Number of Tokens,Language,Model
471,180,sw,meta-llama/Llama-3.1-8B-Instruct
472,113,sw,meta-llama/Llama-3.1-8B-Instruct
473,54,sw,meta-llama/Llama-3.1-8B-Instruct
474,112,sw,meta-llama/Llama-3.1-8B-Instruct
475,120,sw,meta-llama/Llama-3.1-8B-Instruct
476,212,sw,meta-llama/Llama-3.1-8B-Instruct
477,130,sw,meta-llama/Llama-3.1-8B-Instruct
478,172,sw,meta-llama/Llama-3.1-8B-Instruct
479,113,sw,meta-llama/Llama-3.1-8B-Instruct
480,86,sw,meta-llama/Llama-3.1-8B-Instruct
481,128,sw,meta-llama/Llama-3.1-8B-Instruct
482,195,sw,meta-llama/Llama-3.1-8B-Instruct
483,158,sw,meta-llama/Llama-3.1-8B-Instruct
484,168,sw,meta-llama/Llama-3.1-8B-Instruct
485,112,sw,meta-llama/Llama-3.1-8B-Instruct
486,109,sw,meta-llama/Llama-3.1-8B-Instruct
487,248,sw,meta-llama/Llama-3.1-8B-Instruct
488,70,sw,meta-llama/Llama-3.1-8B-Instruct
489,116,sw,meta-llama/Llama-3.1-8B-Instruct
490,124,sw,meta-llama/Llama-3.1-8B-Instruct
491,140,sw,meta-llama/Llama-3.1-8B-Instruct
492,115,sw,meta-llama/Llama-3.1-8B-Instruct
493,47,sw,meta-llama/Llama-3.1-8B-Instruct
494,48,sw,meta-llama/Llama-3.1-8B-Instruct
495,43,sw,meta-llama/Llama-3.1-8B-Instruct
496,135,sw,meta-llama/Llama-3.1-8B-Instruct
497,147,sw,meta-llama/Llama-3.1-8B-Instruct
498,226,sw,meta-llama/Llama-3.1-8B-Instruct
499,114,sw,meta-llama/Llama-3.1-8B-Instruct
500,137,sw,meta-llama/Llama-3.1-8B-Instruct
501,89,sw,meta-llama/Llama-3.1-8B-Instruct
502,272,sw,meta-llama/Llama-3.1-8B-Instruct
503,74,sw,meta-llama/Llama-3.1-8B-Instruct
504,206,sw,meta-llama/Llama-3.1-8B-Instruct
505,155,sw,meta-llama/Llama-3.1-8B-Instruct
506,146,sw,meta-llama/Llama-3.1-8B-Instruct
507,91,sw,meta-llama/Llama-3.1-8B-Instruct
508,197,sw,meta-llama/Llama-3.1-8B-Instruct
509,96,sw,meta-llama/Llama-3.1-8B-Instruct
510,52,sw,meta-llama/Llama-3.1-8B-Instruct
511,96,sw,meta-llama/Llama-3.1-8B-Instruct
512,82,sw,meta-llama/Llama-3.1-8B-Instruct
513,153,sw,meta-llama/Llama-3.1-8B-Instruct
514,167,sw,meta-llama/Llama-3.1-8B-Instruct
515,216,sw,meta-llama/Llama-3.1-8B-Instruct
516,183,sw,meta-llama/Llama-3.1-8B-Instruct
517,104,sw,meta-llama/Llama-3.1-8B-Instruct
518,46,sw,meta-llama/Llama-3.1-8B-Instruct
519,66,sw,meta-llama/Llama-3.1-8B-Instruct
520,169,sw,meta-llama/Llama-3.1-8B-Instruct
521,120,sw,meta-llama/Llama-3.1-8B-Instruct
522,118,sw,meta-llama/Llama-3.1-8B-Instruct
523,119,sw,meta-llama/Llama-3.1-8B-Instruct
524,205,sw,meta-llama/Llama-3.1-8B-Instruct
525,181,sw,meta-llama/Llama-3.1-8B-Instruct
526,162,sw,meta-llama/Llama-3.1-8B-Instruct
527,122,sw,meta-llama/Llama-3.1-8B-Instruct
528,85,sw,meta-llama/Llama-3.1-8B-Instruct
529,150,sw,meta-llama/Llama-3.1-8B-Instruct
530,54,sw,meta-llama/Llama-3.1-8B-Instruct
531,188,sw,meta-llama/Llama-3.1-8B-Instruct
532,117,sw,meta-llama/Llama-3.1-8B-Instruct
533,121,sw,meta-llama/Llama-3.1-8B-Instruct
534,74,sw,meta-llama/Llama-3.1-8B-Instruct
535,113,sw,meta-llama/Llama-3.1-8B-Instruct
536,150,sw,meta-llama/Llama-3.1-8B-Instruct
537,91,sw,meta-llama/Llama-3.1-8B-Instruct
538,92,sw,meta-llama/Llama-3.1-8B-Instruct
539,215,sw,meta-llama/Llama-3.1-8B-Instruct
540,168,sw,meta-llama/Llama-3.1-8B-Instruct
541,77,sw,meta-llama/Llama-3.1-8B-Instruct
542,270,sw,meta-llama/Llama-3.1-8B-Instruct
543,136,sw,meta-llama/Llama-3.1-8B-Instruct
544,236,sw,meta-llama/Llama-3.1-8B-Instruct
545,167,sw,meta-llama/Llama-3.1-8B-Instruct
546,156,sw,meta-llama/Llama-3.1-8B-Instruct
547,149,sw,meta-llama/Llama-3.1-8B-Instruct
548,196,sw,meta-llama/Llama-3.1-8B-Instruct
549,121,sw,meta-llama/Llama-3.1-8B-Instruct
550,214,sw,meta-llama/Llama-3.1-8B-Instruct
551,51,sw,meta-llama/Llama-3.1-8B-Instruct
552,133,sw,meta-llama/Llama-3.1-8B-Instruct
553,117,sw,meta-llama/Llama-3.1-8B-Instruct
554,203,sw,meta-llama/Llama-3.1-8B-Instruct
555,325,sw,meta-llama/Llama-3.1-8B-Instruct
556,271,sw,meta-llama/Llama-3.1-8B-Instruct
557,182,sw,meta-llama/Llama-3.1-8B-Instruct
558,172,sw,meta-llama/Llama-3.1-8B-Instruct
559,131,sw,meta-llama/Llama-3.1-8B-Instruct
560,132,sw,meta-llama/Llama-3.1-8B-Instruct
561,222,sw,meta-llama/Llama-3.1-8B-Instruct
562,129,sw,meta-llama/Llama-3.1-8B-Instruct
563,134,sw,meta-llama/Llama-3.1-8B-Instruct
564,198,sw,meta-llama/Llama-3.1-8B-Instruct
565,90,sw,meta-llama/Llama-3.1-8B-Instruct
566,111,sw,meta-llama/Llama-3.1-8B-Instruct
567,160,sw,meta-llama/Llama-3.1-8B-Instruct
568,71,sw,meta-llama/Llama-3.1-8B-Instruct
569,212,sw,meta-llama/Llama-3.1-8B-Instruct
570,134,sw,meta-llama/Llama-3.1-8B-Instruct
571,53,sw,meta-llama/Llama-3.1-8B-Instruct
572,329,sw,meta-llama/Llama-3.1-8B-Instruct
573,55,sw,meta-llama/Llama-3.1-8B-Instruct
574,124,sw,meta-llama/Llama-3.1-8B-Instruct
575,224,sw,meta-llama/Llama-3.1-8B-Instruct
576,138,sw,meta-llama/Llama-3.1-8B-Instruct
577,130,sw,meta-llama/Llama-3.1-8B-Instruct
578,138,sw,meta-llama/Llama-3.1-8B-Instruct
579,108,sw,meta-llama/Llama-3.1-8B-Instruct
580,120,sw,meta-llama/Llama-3.1-8B-Instruct
581,246,sw,meta-llama/Llama-3.1-8B-Instruct
582,152,sw,meta-llama/Llama-3.1-8B-Instruct
583,123,sw,meta-llama/Llama-3.1-8B-Instruct
584,196,sw,meta-llama/Llama-3.1-8B-Instruct
585,239,sw,meta-llama/Llama-3.1-8B-Instruct
586,88,sw,meta-llama/Llama-3.1-8B-Instruct
587,70,sw,meta-llama/Llama-3.1-8B-Instruct
588,163,sw,meta-llama/Llama-3.1-8B-Instruct
589,59,sw,meta-llama/Llama-3.1-8B-Instruct
590,92,sw,meta-llama/Llama-3.1-8B-Instruct
591,291,sw,meta-llama/Llama-3.1-8B-Instruct
592,65,sw,meta-llama/Llama-3.1-8B-Instruct
593,78,sw,meta-llama/Llama-3.1-8B-Instruct
594,75,sw,meta-llama/Llama-3.1-8B-Instruct
595,131,sw,meta-llama/Llama-3.1-8B-Instruct
596,64,sw,meta-llama/Llama-3.1-8B-Instruct
597,176,sw,meta-llama/Llama-3.1-8B-Instruct
598,74,sw,meta-llama/Llama-3.1-8B-Instruct
599,97,sw,meta-llama/Llama-3.1-8B-Instruct
600,120,sw,meta-llama/Llama-3.1-8B-Instruct
601,52,sw,meta-llama/Llama-3.1-8B-Instruct
602,70,sw,meta-llama/Llama-3.1-8B-Instruct
603,146,sw,meta-llama/Llama-3.1-8B-Instruct
604,86,sw,meta-llama/Llama-3.1-8B-Instruct
605,194,sw,meta-llama/Llama-3.1-8B-Instruct
606,111,sw,meta-llama/Llama-3.1-8B-Instruct
607,162,sw,meta-llama/Llama-3.1-8B-Instruct
608,189,sw,meta-llama/Llama-3.1-8B-Instruct
609,194,sw,meta-llama/Llama-3.1-8B-Instruct
610,76,sw,meta-llama/Llama-3.1-8B-Instruct
611,65,sw,meta-llama/Llama-3.1-8B-Instruct
612,92,sw,meta-llama/Llama-3.1-8B-Instruct
613,213,sw,meta-llama/Llama-3.1-8B-Instruct
614,118,sw,meta-llama/Llama-3.1-8B-Instruct
615,175,sw,meta-llama/Llama-3.1-8B-Instruct
616,197,sw,meta-llama/Llama-3.1-8B-Instruct
617,176,sw,meta-llama/Llama-3.1-8B-Instruct
618,68,sw,meta-llama/Llama-3.1-8B-Instruct
619,156,sw,meta-llama/Llama-3.1-8B-Instruct
620,87,sw,meta-llama/Llama-3.1-8B-Instruct
621,88,sw,meta-llama/Llama-3.1-8B-Instruct
622,153,sw,meta-llama/Llama-3.1-8B-Instruct
623,152,sw,meta-llama/Llama-3.1-8B-Instruct
624,236,sw,meta-llama/Llama-3.1-8B-Instruct
625,176,sw,meta-llama/Llama-3.1-8B-Instruct
626,165,sw,meta-llama/Llama-3.1-8B-Instruct
627,196,sw,meta-llama/Llama-3.1-8B-Instruct
628,75,sw,meta-llama/Llama-3.1-8B-Instruct
629,96,sw,meta-llama/Llama-3.1-8B-Instruct
630,214,sw,meta-llama/Llama-3.1-8B-Instruct
631,67,sw,meta-llama/Llama-3.1-8B-Instruct
632,109,sw,meta-llama/Llama-3.1-8B-Instruct
633,86,sw,meta-llama/Llama-3.1-8B-Instruct
634,130,sw,meta-llama/Llama-3.1-8B-Instruct
635,183,sw,meta-llama/Llama-3.1-8B-Instruct
636,177,sw,meta-llama/Llama-3.1-8B-Instruct
637,58,sw,meta-llama/Llama-3.1-8B-Instruct
638,124,sw,meta-llama/Llama-3.1-8B-Instruct
639,108,sw,meta-llama/Llama-3.1-8B-Instruct
640,162,sw,meta-llama/Llama-3.1-8B-Instruct
641,80,sw,meta-llama/Llama-3.1-8B-Instruct
642,95,sw,meta-llama/Llama-3.1-8B-Instruct
643,134,sw,meta-llama/Llama-3.1-8B-Instruct
644,111,sw,meta-llama/Llama-3.1-8B-Instruct
645,126,sw,meta-llama/Llama-3.1-8B-Instruct
646,85,sw,meta-llama/Llama-3.1-8B-Instruct
647,90,sw,meta-llama/Llama-3.1-8B-Instruct
648,111,sw,meta-llama/Llama-3.1-8B-Instruct
649,115,sw,meta-llama/Llama-3.1-8B-Instruct
650,161,sw,meta-llama/Llama-3.1-8B-Instruct
651,101,sw,meta-llama/Llama-3.1-8B-Instruct
652,202,sw,meta-llama/Llama-3.1-8B-Instruct
653,357,sw,meta-llama/Llama-3.1-8B-Instruct
654,130,sw,meta-llama/Llama-3.1-8B-Instruct
655,216,sw,meta-llama/Llama-3.1-8B-Instruct
656,228,sw,meta-llama/Llama-3.1-8B-Instruct
657,152,sw,meta-llama/Llama-3.1-8B-Instruct
658,31,sw,meta-llama/Llama-3.1-8B-Instruct
659,226,sw,meta-llama/Llama-3.1-8B-Instruct
660,88,sw,meta-llama/Llama-3.1-8B-Instruct
661,244,sw,meta-llama/Llama-3.1-8B-Instruct
662,63,sw,meta-llama/Llama-3.1-8B-Instruct
663,206,sw,meta-llama/Llama-3.1-8B-Instruct
664,224,sw,meta-llama/Llama-3.1-8B-Instruct
665,91,sw,meta-llama/Llama-3.1-8B-Instruct
666,140,sw,meta-llama/Llama-3.1-8B-Instruct
667,138,sw,meta-llama/Llama-3.1-8B-Instruct
668,111,sw,meta-llama/Llama-3.1-8B-Instruct
669,59,sw,meta-llama/Llama-3.1-8B-Instruct
670,86,sw,meta-llama/Llama-3.1-8B-Instruct
671,213,sw,meta-llama/Llama-3.1-8B-Instruct
672,323,sw,meta-llama/Llama-3.1-8B-Instruct
673,173,sw,meta-llama/Llama-3.1-8B-Instruct
674,165,sw,meta-llama/Llama-3.1-8B-Instruct
675,97,sw,meta-llama/Llama-3.1-8B-Instruct
676,131,sw,meta-llama/Llama-3.1-8B-Instruct
677,107,sw,meta-llama/Llama-3.1-8B-Instruct
678,125,sw,meta-llama/Llama-3.1-8B-Instruct
679,109,sw,meta-llama/Llama-3.1-8B-Instruct
680,79,sw,meta-llama/Llama-3.1-8B-Instruct
681,249,sw,meta-llama/Llama-3.1-8B-Instruct
682,120,sw,meta-llama/Llama-3.1-8B-Instruct
683,102,sw,meta-llama/Llama-3.1-8B-Instruct
684,351,sw,meta-llama/Llama-3.1-8B-Instruct
685,176,sw,meta-llama/Llama-3.1-8B-Instruct
686,241,sw,meta-llama/Llama-3.1-8B-Instruct
687,145,sw,meta-llama/Llama-3.1-8B-Instruct
688,214,sw,meta-llama/Llama-3.1-8B-Instruct
689,112,sw,meta-llama/Llama-3.1-8B-Instruct
690,240,sw,meta-llama/Llama-3.1-8B-Instruct
691,89,sw,meta-llama/Llama-3.1-8B-Instruct
692,159,sw,meta-llama/Llama-3.1-8B-Instruct
693,168,sw,meta-llama/Llama-3.1-8B-Instruct
694,160,sw,meta-llama/Llama-3.1-8B-Instruct
695,191,sw,meta-llama/Llama-3.1-8B-Instruct
696,72,sw,meta-llama/Llama-3.1-8B-Instruct
697,121,sw,meta-llama/Llama-3.1-8B-Instruct
698,128,sw,meta-llama/Llama-3.1-8B-Instruct
699,165,sw,meta-llama/Llama-3.1-8B-Instruct
700,124,sw,meta-llama/Llama-3.1-8B-Instruct
701,79,sw,meta-llama/Llama-3.1-8B-Instruct
702,146,sw,meta-llama/Llama-3.1-8B-Instruct
703,319,sw,meta-llama/Llama-3.1-8B-Instruct
704,104,sw,meta-llama/Llama-3.1-8B-Instruct
705,72,sw,meta-llama/Llama-3.1-8B-Instruct
706,72,sw,meta-llama/Llama-3.1-8B-Instruct
707,196,sw,meta-llama/Llama-3.1-8B-Instruct
708,189,sw,meta-llama/Llama-3.1-8B-Instruct
709,93,sw,meta-llama/Llama-3.1-8B-Instruct
710,188,sw,meta-llama/Llama-3.1-8B-Instruct
711,289,sw,meta-llama/Llama-3.1-8B-Instruct
712,70,sw,meta-llama/Llama-3.1-8B-Instruct
713,138,sw,meta-llama/Llama-3.1-8B-Instruct
714,147,sw,meta-llama/Llama-3.1-8B-Instruct
715,71,sw,meta-llama/Llama-3.1-8B-Instruct
716,125,sw,meta-llama/Llama-3.1-8B-Instruct
717,169,sw,meta-llama/Llama-3.1-8B-Instruct
718,53,sw,meta-llama/Llama-3.1-8B-Instruct
719,92,sw,meta-llama/Llama-3.1-8B-Instruct
720,120,sw,meta-llama/Llama-3.1-8B-Instruct
721,110,sw,meta-llama/Llama-3.1-8B-Instruct
722,100,sw,meta-llama/Llama-3.1-8B-Instruct
723,121,sw,meta-llama/Llama-3.1-8B-Instruct
724,93,sw,meta-llama/Llama-3.1-8B-Instruct
725,128,sw,meta-llama/Llama-3.1-8B-Instruct
726,115,sw,meta-llama/Llama-3.1-8B-Instruct
727,130,sw,meta-llama/Llama-3.1-8B-Instruct
728,115,sw,meta-llama/Llama-3.1-8B-Instruct
729,230,sw,meta-llama/Llama-3.1-8B-Instruct
730,144,sw,meta-llama/Llama-3.1-8B-Instruct
731,91,sw,meta-llama/Llama-3.1-8B-Instruct
732,213,sw,meta-llama/Llama-3.1-8B-Instruct
733,70,sw,meta-llama/Llama-3.1-8B-Instruct
734,211,sw,meta-llama/Llama-3.1-8B-Instruct
735,215,sw,meta-llama/Llama-3.1-8B-Instruct
736,224,sw,meta-llama/Llama-3.1-8B-Instruct
737,155,sw,meta-llama/Llama-3.1-8B-Instruct
738,68,sw,meta-llama/Llama-3.1-8B-Instruct
739,212,sw,meta-llama/Llama-3.1-8B-Instruct
740,161,sw,meta-llama/Llama-3.1-8B-Instruct
741,238,sw,meta-llama/Llama-3.1-8B-Instruct
742,96,sw,meta-llama/Llama-3.1-8B-Instruct
743,138,sw,meta-llama/Llama-3.1-8B-Instruct
744,100,sw,meta-llama/Llama-3.1-8B-Instruct
745,154,sw,meta-llama/Llama-3.1-8B-Instruct
746,244,sw,meta-llama/Llama-3.1-8B-Instruct
747,125,sw,meta-llama/Llama-3.1-8B-Instruct
748,54,sw,meta-llama/Llama-3.1-8B-Instruct
749,133,sw,meta-llama/Llama-3.1-8B-Instruct
750,69,sw,meta-llama/Llama-3.1-8B-Instruct
751,145,sw,meta-llama/Llama-3.1-8B-Instruct
752,484,sw,meta-llama/Llama-3.1-8B-Instruct
753,98,sw,meta-llama/Llama-3.1-8B-Instruct
754,232,sw,meta-llama/Llama-3.1-8B-Instruct
755,93,sw,meta-llama/Llama-3.1-8B-Instruct
756,71,sw,meta-llama/Llama-3.1-8B-Instruct
757,245,sw,meta-llama/Llama-3.1-8B-Instruct
758,210,sw,meta-llama/Llama-3.1-8B-Instruct
759,175,sw,meta-llama/Llama-3.1-8B-Instruct
760,117,sw,meta-llama/Llama-3.1-8B-Instruct
761,83,sw,meta-llama/Llama-3.1-8B-Instruct
762,373,sw,meta-llama/Llama-3.1-8B-Instruct
763,120,sw,meta-llama/Llama-3.1-8B-Instruct
764,169,sw,meta-llama/Llama-3.1-8B-Instruct
765,124,sw,meta-llama/Llama-3.1-8B-Instruct
766,232,sw,meta-llama/Llama-3.1-8B-Instruct
767,72,sw,meta-llama/Llama-3.1-8B-Instruct
768,257,sw,meta-llama/Llama-3.1-8B-Instruct
769,117,sw,meta-llama/Llama-3.1-8B-Instruct
770,276,sw,meta-llama/Llama-3.1-8B-Instruct
771,320,sw,meta-llama/Llama-3.1-8B-Instruct
772,94,sw,meta-llama/Llama-3.1-8B-Instruct
773,68,sw,meta-llama/Llama-3.1-8B-Instruct
774,200,sw,meta-llama/Llama-3.1-8B-Instruct
775,90,sw,meta-llama/Llama-3.1-8B-Instruct
776,118,sw,meta-llama/Llama-3.1-8B-Instruct
777,94,sw,meta-llama/Llama-3.1-8B-Instruct
778,143,sw,meta-llama/Llama-3.1-8B-Instruct
779,123,sw,meta-llama/Llama-3.1-8B-Instruct
780,95,sw,meta-llama/Llama-3.1-8B-Instruct
781,194,sw,meta-llama/Llama-3.1-8B-Instruct
782,210,sw,meta-llama/Llama-3.1-8B-Instruct
783,125,sw,meta-llama/Llama-3.1-8B-Instruct
784,178,sw,meta-llama/Llama-3.1-8B-Instruct
785,283,sw,meta-llama/Llama-3.1-8B-Instruct
786,329,sw,meta-llama/Llama-3.1-8B-Instruct
787,144,sw,meta-llama/Llama-3.1-8B-Instruct
788,190,sw,meta-llama/Llama-3.1-8B-Instruct
789,163,sw,meta-llama/Llama-3.1-8B-Instruct
790,168,sw,meta-llama/Llama-3.1-8B-Instruct
791,188,sw,meta-llama/Llama-3.1-8B-Instruct
792,118,sw,meta-llama/Llama-3.1-8B-Instruct
793,95,sw,meta-llama/Llama-3.1-8B-Instruct
794,161,sw,meta-llama/Llama-3.1-8B-Instruct
795,107,sw,meta-llama/Llama-3.1-8B-Instruct
796,97,sw,meta-llama/Llama-3.1-8B-Instruct
797,151,sw,meta-llama/Llama-3.1-8B-Instruct
798,193,sw,meta-llama/Llama-3.1-8B-Instruct
799,122,sw,meta-llama/Llama-3.1-8B-Instruct
800,233,sw,meta-llama/Llama-3.1-8B-Instruct
801,93,sw,meta-llama/Llama-3.1-8B-Instruct
802,94,sw,meta-llama/Llama-3.1-8B-Instruct
803,76,sw,meta-llama/Llama-3.1-8B-Instruct
804,143,sw,meta-llama/Llama-3.1-8B-Instruct
805,65,sw,meta-llama/Llama-3.1-8B-Instruct
806,202,sw,meta-llama/Llama-3.1-8B-Instruct
807,81,sw,meta-llama/Llama-3.1-8B-Instruct
808,173,sw,meta-llama/Llama-3.1-8B-Instruct
809,179,sw,meta-llama/Llama-3.1-8B-Instruct
810,148,sw,meta-llama/Llama-3.1-8B-Instruct
811,229,sw,meta-llama/Llama-3.1-8B-Instruct
812,174,sw,meta-llama/Llama-3.1-8B-Instruct
813,91,sw,meta-llama/Llama-3.1-8B-Instruct
814,211,sw,meta-llama/Llama-3.1-8B-Instruct
815,139,sw,meta-llama/Llama-3.1-8B-Instruct
816,49,sw,meta-llama/Llama-3.1-8B-Instruct
817,108,sw,meta-llama/Llama-3.1-8B-Instruct
818,111,sw,meta-llama/Llama-3.1-8B-Instruct
819,104,sw,meta-llama/Llama-3.1-8B-Instruct
820,58,sw,meta-llama/Llama-3.1-8B-Instruct
821,185,sw,meta-llama/Llama-3.1-8B-Instruct
822,72,sw,meta-llama/Llama-3.1-8B-Instruct
823,87,sw,meta-llama/Llama-3.1-8B-Instruct
824,177,sw,meta-llama/Llama-3.1-8B-Instruct
825,183,sw,meta-llama/Llama-3.1-8B-Instruct
826,57,sw,meta-llama/Llama-3.1-8B-Instruct
827,79,sw,meta-llama/Llama-3.1-8B-Instruct
828,83,sw,meta-llama/Llama-3.1-8B-Instruct
829,329,sw,meta-llama/Llama-3.1-8B-Instruct
830,125,sw,meta-llama/Llama-3.1-8B-Instruct
831,84,sw,meta-llama/Llama-3.1-8B-Instruct
832,173,sw,meta-llama/Llama-3.1-8B-Instruct
833,111,sw,meta-llama/Llama-3.1-8B-Instruct
834,84,sw,meta-llama/Llama-3.1-8B-Instruct
835,369,sw,meta-llama/Llama-3.1-8B-Instruct
836,105,sw,meta-llama/Llama-3.1-8B-Instruct
837,115,sw,meta-llama/Llama-3.1-8B-Instruct
838,65,sw,meta-llama/Llama-3.1-8B-Instruct
839,139,sw,meta-llama/Llama-3.1-8B-Instruct
840,150,sw,meta-llama/Llama-3.1-8B-Instruct
841,73,sw,meta-llama/Llama-3.1-8B-Instruct
842,83,sw,meta-llama/Llama-3.1-8B-Instruct
843,139,sw,meta-llama/Llama-3.1-8B-Instruct
844,96,sw,meta-llama/Llama-3.1-8B-Instruct
845,115,sw,meta-llama/Llama-3.1-8B-Instruct
846,83,sw,meta-llama/Llama-3.1-8B-Instruct
847,212,sw,meta-llama/Llama-3.1-8B-Instruct
848,79,sw,meta-llama/Llama-3.1-8B-Instruct
849,95,sw,meta-llama/Llama-3.1-8B-Instruct
850,120,sw,meta-llama/Llama-3.1-8B-Instruct
851,94,sw,meta-llama/Llama-3.1-8B-Instruct
852,88,sw,meta-llama/Llama-3.1-8B-Instruct
853,259,sw,meta-llama/Llama-3.1-8B-Instruct
854,79,sw,meta-llama/Llama-3.1-8B-Instruct
855,207,sw,meta-llama/Llama-3.1-8B-Instruct
856,64,sw,meta-llama/Llama-3.1-8B-Instruct
857,172,sw,meta-llama/Llama-3.1-8B-Instruct
858,191,sw,meta-llama/Llama-3.1-8B-Instruct
859,71,sw,meta-llama/Llama-3.1-8B-Instruct
860,96,sw,meta-llama/Llama-3.1-8B-Instruct
861,146,sw,meta-llama/Llama-3.1-8B-Instruct
862,49,sw,meta-llama/Llama-3.1-8B-Instruct
863,141,sw,meta-llama/Llama-3.1-8B-Instruct
864,96,sw,meta-llama/Llama-3.1-8B-Instruct
865,207,sw,meta-llama/Llama-3.1-8B-Instruct
866,57,sw,meta-llama/Llama-3.1-8B-Instruct
867,109,sw,meta-llama/Llama-3.1-8B-Instruct
868,180,sw,meta-llama/Llama-3.1-8B-Instruct
869,75,sw,meta-llama/Llama-3.1-8B-Instruct
870,103,sw,meta-llama/Llama-3.1-8B-Instruct
871,133,sw,meta-llama/Llama-3.1-8B-Instruct
872,172,sw,meta-llama/Llama-3.1-8B-Instruct
873,99,sw,meta-llama/Llama-3.1-8B-Instruct
874,116,sw,meta-llama/Llama-3.1-8B-Instruct
875,164,sw,meta-llama/Llama-3.1-8B-Instruct
876,86,sw,meta-llama/Llama-3.1-8B-Instruct
877,151,sw,meta-llama/Llama-3.1-8B-Instruct
878,285,sw,meta-llama/Llama-3.1-8B-Instruct
879,241,sw,meta-llama/Llama-3.1-8B-Instruct
880,144,sw,meta-llama/Llama-3.1-8B-Instruct
881,105,sw,meta-llama/Llama-3.1-8B-Instruct
882,98,sw,meta-llama/Llama-3.1-8B-Instruct
883,151,sw,meta-llama/Llama-3.1-8B-Instruct
884,117,sw,meta-llama/Llama-3.1-8B-Instruct
885,145,sw,meta-llama/Llama-3.1-8B-Instruct
886,289,sw,meta-llama/Llama-3.1-8B-Instruct
887,172,sw,meta-llama/Llama-3.1-8B-Instruct
888,188,sw,meta-llama/Llama-3.1-8B-Instruct
889,146,sw,meta-llama/Llama-3.1-8B-Instruct
890,95,sw,meta-llama/Llama-3.1-8B-Instruct
891,123,sw,meta-llama/Llama-3.1-8B-Instruct
892,73,sw,meta-llama/Llama-3.1-8B-Instruct
893,112,sw,meta-llama/Llama-3.1-8B-Instruct
894,140,sw,meta-llama/Llama-3.1-8B-Instruct
895,185,sw,meta-llama/Llama-3.1-8B-Instruct
896,98,sw,meta-llama/Llama-3.1-8B-Instruct
897,72,sw,meta-llama/Llama-3.1-8B-Instruct
898,149,sw,meta-llama/Llama-3.1-8B-Instruct
899,53,sw,meta-llama/Llama-3.1-8B-Instruct
900,105,sw,meta-llama/Llama-3.1-8B-Instruct
901,54,sw,meta-llama/Llama-3.1-8B-Instruct
902,132,sw,meta-llama/Llama-3.1-8B-Instruct
903,253,sw,meta-llama/Llama-3.1-8B-Instruct
904,146,sw,meta-llama/Llama-3.1-8B-Instruct
905,88,sw,meta-llama/Llama-3.1-8B-Instruct
906,104,sw,meta-llama/Llama-3.1-8B-Instruct
907,138,sw,meta-llama/Llama-3.1-8B-Instruct
908,189,sw,meta-llama/Llama-3.1-8B-Instruct
909,109,sw,meta-llama/Llama-3.1-8B-Instruct
910,99,sw,meta-llama/Llama-3.1-8B-Instruct
911,111,sw,meta-llama/Llama-3.1-8B-Instruct
912,115,sw,meta-llama/Llama-3.1-8B-Instruct
913,215,sw,meta-llama/Llama-3.1-8B-Instruct
914,290,sw,meta-llama/Llama-3.1-8B-Instruct
915,132,sw,meta-llama/Llama-3.1-8B-Instruct
916,226,sw,meta-llama/Llama-3.1-8B-Instruct
917,155,sw,meta-llama/Llama-3.1-8B-Instruct
918,89,sw,meta-llama/Llama-3.1-8B-Instruct
919,213,sw,meta-llama/Llama-3.1-8B-Instruct
920,182,sw,meta-llama/Llama-3.1-8B-Instruct
921,119,sw,meta-llama/Llama-3.1-8B-Instruct
922,142,sw,meta-llama/Llama-3.1-8B-Instruct
923,128,sw,meta-llama/Llama-3.1-8B-Instruct
924,246,sw,meta-llama/Llama-3.1-8B-Instruct
925,154,sw,meta-llama/Llama-3.1-8B-Instruct
926,112,sw,meta-llama/Llama-3.1-8B-Instruct
927,183,sw,meta-llama/Llama-3.1-8B-Instruct
928,106,sw,meta-llama/Llama-3.1-8B-Instruct
929,188,sw,meta-llama/Llama-3.1-8B-Instruct
930,216,sw,meta-llama/Llama-3.1-8B-Instruct
931,141,sw,meta-llama/Llama-3.1-8B-Instruct
932,110,sw,meta-llama/Llama-3.1-8B-Instruct
933,71,sw,meta-llama/Llama-3.1-8B-Instruct
934,247,sw,meta-llama/Llama-3.1-8B-Instruct
935,168,sw,meta-llama/Llama-3.1-8B-Instruct
936,164,sw,meta-llama/Llama-3.1-8B-Instruct
937,181,sw,meta-llama/Llama-3.1-8B-Instruct
938,200,sw,meta-llama/Llama-3.1-8B-Instruct
939,108,sw,meta-llama/Llama-3.1-8B-Instruct
940,204,sw,meta-llama/Llama-3.1-8B-Instruct
941,235,sw,meta-llama/Llama-3.1-8B-Instruct
942,154,sw,meta-llama/Llama-3.1-8B-Instruct
943,88,sw,meta-llama/Llama-3.1-8B-Instruct
944,112,sw,meta-llama/Llama-3.1-8B-Instruct
945,160,sw,meta-llama/Llama-3.1-8B-Instruct
946,173,sw,meta-llama/Llama-3.1-8B-Instruct
947,182,sw,meta-llama/Llama-3.1-8B-Instruct
948,228,sw,meta-llama/Llama-3.1-8B-Instruct
949,130,sw,meta-llama/Llama-3.1-8B-Instruct
950,150,sw,meta-llama/Llama-3.1-8B-Instruct
951,134,sw,meta-llama/Llama-3.1-8B-Instruct
952,165,sw,meta-llama/Llama-3.1-8B-Instruct
